model,init,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,MEANJZH,MEANALP
MFR,4_50_5,0.08231578759084632,0.16272308259740975,0.04576389410018777,0.13396799433269865,0.04103363550760599,0.033389257959321905,0.12645426882646896,0.27423627836962683,0.0020178954592312277,0.002290635147087278,0.032625804286354226,0.018787098023147306,0.03764793929506372,0.0007839629079538059,0.002965568419747193,0.0029968971772490606
MFR,2_50_5,0.08055184599228526,0.17755973104587627,0.05053046410111198,0.13547189862834919,0.04024375429327734,0.01741595291033856,0.11019000503725623,0.2849649519569798,0.0022272810879659694,0.001915135244006488,0.04338796261849385,0.01937485607127853,0.030185307690588022,0.0013079194492778975,0.003186739655359768,0.001486194217554852
MFR,8_50_5,0.09776434200280737,0.16989522792819947,0.023929402001546727,0.10785066611738528,0.05241123832682728,0.02053317471176715,0.10117845817823715,0.32151560514653876,0.001358070516400002,0.001583974740149882,0.05156948954914463,0.015871333681531912,0.02730877738919405,0.001045835564688858,0.0036505403340803544,0.0025338638115012307
MFR,16_50_5,0.06153389491575734,0.11326621594844542,0.025879398832130324,0.11562700293023015,0.0636027069089347,0.04037443471131367,0.10972143207079552,0.38060426780072437,0.0022536750389566835,0.0017874468037499223,0.045742035789732606,0.012938823612789632,0.01967842550623794,0.0006715971585150218,0.003983216253266839,0.0023354257184199046
MFR,32_50_5,0.05403473376998688,0.20880527918164674,0.033158217611208636,0.14043950364441396,0.043349141561454065,0.01158795984847189,0.08184869747932738,0.3390694496607547,0.002175656116995762,0.0017466609773346055,0.03523597672851921,0.018970943297169383,0.023025028133172913,0.0009157481261556885,0.0037396759843249887,0.0018973278790632116
MFR,2_50_10,0.07413968123346062,0.14704734708189246,0.05045993914219299,0.12244102274721634,0.047321445391895194,0.03346922677494306,0.10374844569232858,0.24545233915712053,0.012367411423400072,0.012112650087988723,0.04420883641092495,0.03291825641996202,0.03506605823348871,0.012848881310368952,0.013798071029012059,0.012600387863804761
MFR,8_100_5,0.11054301172991218,0.13827272397272947,0.02797046904544001,0.12337972267224787,0.046053090317999874,0.042437514083258326,0.09486394783484514,0.3039316143218049,0.0025996731358546615,0.0022240245100759617,0.04231412911282761,0.02009652948664735,0.03937211945769556,0.0010004799003424105,0.003088984277627927,0.0018519661406907436
MFR,16_50_10,0.06624638384533929,0.11058218067826395,0.04619077019879105,0.09753562740504342,0.0640397865420095,0.040341310814103054,0.10977553988731982,0.3127541302565531,0.013422328067294572,0.01281272548196995,0.033462443148689076,0.023488847860211805,0.029592824815673345,0.011856259891966774,0.014589448242295053,0.013309392864476395
MFR,4_50_10,0.08053984089964678,0.13774946822000247,0.04442474492337354,0.11696811538421543,0.05060278939576714,0.03708644988756989,0.12070754870096688,0.23023936875307152,0.013379875828883232,0.01276781972611351,0.04593570342032421,0.026789409905861223,0.04151977164398973,0.012221957686127775,0.015264171472248962,0.01380296415183778
MFR,8_50_10,0.09833519316872628,0.15123961238191932,0.04179192354000968,0.08902395158926987,0.05909941457650755,0.028776254323578693,0.10699729783992314,0.24955369361797444,0.014496585972679983,0.013148639623087538,0.04958619044366856,0.034101432490726634,0.024133014965053746,0.011691237414566187,0.01440465707563657,0.01362090097667179
MFR,32_100_5,0.08068147856478872,0.1641875248961249,0.0378317481516601,0.11983503202458674,0.06511386261668507,0.01753170635096826,0.08991710807162583,0.3314215033973454,0.00239799347851449,0.0018820738359450364,0.036407884804910126,0.021484997315388225,0.024368120319762144,0.0008908840792630274,0.0038557051689172717,0.0021923769235146695
MFR,2_100_5,0.0784067531925225,0.12099763790781086,0.04004711656485811,0.15173663632109624,0.04779916839026032,0.02759134689011406,0.09826521974808529,0.3450852917451141,0.0018140033201964586,0.001721012265352052,0.03515696673596922,0.018837151586153164,0.025439764517888843,0.0013456407251883095,0.003973876473680523,0.001782413615709893
MFR,32_50_10,0.06406186955936384,0.17704930578866862,0.046045944463256605,0.1172635897341995,0.045487024642701004,0.0246206650545369,0.08356756436061022,0.2655139935886161,0.01405527909366413,0.012227216074376183,0.05320310626917878,0.018676181554812637,0.037264483229527745,0.01211670671932228,0.015023430591161725,0.013823639276003713
MFR,16_100_5,0.10481291823685439,0.09767659552399205,0.024088826174710355,0.12453864333586781,0.04504026459185841,0.03873115961259919,0.09265418343166879,0.37529810797043867,0.0018967552899534412,0.0034469247137409076,0.04504697900068404,0.019248183254397505,0.02128386489463736,0.0007265581827841805,0.0034368615910272252,0.0020731741947856526
MFR,4_100_5,0.11267039879409835,0.11856996954094273,0.041024381167253376,0.12549973594925223,0.06357338324790539,0.03726423309133666,0.1173005954391865,0.2764899755626273,0.0022478301927415247,0.001792183074395036,0.040025514570492415,0.01931684651404577,0.037883967963479155,0.0007169505075819788,0.00311642087193265,0.0025076135127288686
MFR,8_50_20,0.08611585188641223,0.1271617772277338,0.042929925769325486,0.07929333888367535,0.06043653462965169,0.03529792839225126,0.08803444677851802,0.2181776755765594,0.026213790054805963,0.025488062697041788,0.0509572386113395,0.04602569501658218,0.035060463805145464,0.02638790905325158,0.026066475705824484,0.026352885911881764
MFR,2_50_None,0.07159810360240552,0.12892170998146427,0.051036633933487875,0.10116620864760531,0.051977787832841946,0.04043607337518368,0.09188538964864877,0.19426405352606635,0.02830269632817342,0.02648360642709657,0.050852608169803554,0.034037431069467126,0.045729449726776415,0.02816185094226794,0.027841572984555443,0.02730482380415581
MFR,16_50_None,0.06047096101631709,0.09255266809001435,0.05018895833502587,0.0904680272437205,0.06490969472625975,0.04745668184502562,0.09132973953469121,0.23675040116562124,0.027476438052885594,0.027526877088937703,0.04779230701088202,0.03581313901713302,0.04355484411628928,0.02795979726409781,0.027899711834711086,0.027849753658387853
MFR,2_50_20,0.0786081637712478,0.12878933372131673,0.05129775403220371,0.10301129970242882,0.050699914691363895,0.03695595398835565,0.09553483440791367,0.1943501270495734,0.02631007660256677,0.024518827641221565,0.05333763435158142,0.02941906481443807,0.04839700050786437,0.02679578724311901,0.025625892477854743,0.026348334996950346
MFR,16_50_20,0.058132468125561804,0.09090224051688497,0.049139912715026386,0.09219517296518008,0.07071394097587996,0.04713344805012579,0.0888548761340969,0.2441062095675552,0.026829235072041217,0.02444557348469684,0.04998225989190876,0.03481279767070591,0.043521464750211264,0.026013817473209733,0.026858209652840567,0.026358372954074668
MFR,32_50_None,0.057038324547387956,0.14960852586289686,0.05197555932039207,0.09977262087774426,0.05239161533131849,0.032227167877643195,0.0775252760246725,0.2132853464960564,0.028242791794110437,0.025580107832460643,0.04533617725306093,0.03556855735217015,0.04866266120532413,0.02777727942020699,0.02749056319161599,0.02751742561293905
MFR,4_50_None,0.07233299674440885,0.11546827965256125,0.050082082647549334,0.0977499471035524,0.06288173629220224,0.04447755098183409,0.10190310233678451,0.18772481395763532,0.02780381769933446,0.026115971060884192,0.04867836197048853,0.03657881133467686,0.04209201536839616,0.029066955885649705,0.02890125747281566,0.02814229949122644
MFR,4_50_20,0.07092677601486085,0.11732244102617642,0.04702213831762061,0.10299646712932814,0.05590093081200465,0.05460735048966927,0.10053053733731629,0.19278243441750573,0.025988783204300377,0.02544943972387132,0.049951389182902844,0.034002531889586955,0.04218678715138326,0.027006444357913866,0.026818114241380316,0.026507434704179114
MFR,8_50_None,0.08328952553857001,0.12380638527106472,0.04511126421646261,0.08335629683642949,0.0591099126248196,0.03623017347739852,0.08317253887822958,0.21539007959839632,0.028253650913488873,0.026476745830970927,0.04638284936241697,0.04448693002263001,0.042621016420375746,0.02796415271623625,0.028102844911881867,0.026245633380628613
MFR,32_50_20,0.05679852807908083,0.14928422403147948,0.049065373816219185,0.10388549658925465,0.049125201612025354,0.032414704995892975,0.07871807143281201,0.22246143572890406,0.027843751507336437,0.0258100293727158,0.04684867212541989,0.033274021436171225,0.04409857500863341,0.026859792334447224,0.026950145952700434,0.026561975976907095
MFR,8_100_10,0.10481913892616573,0.11939897406794064,0.04646030503382531,0.10227803079582712,0.054236559526667213,0.046078387597226746,0.09767820315381347,0.2540129706100473,0.014130324283567992,0.012677941721135823,0.04754923199437525,0.031248111435579894,0.030281513963467763,0.011550281879376723,0.014418726592760946,0.013181298418222055
MFR,16_100_10,0.09351541386261053,0.09701296184263207,0.04446851961780035,0.1061590655662492,0.05186368612559287,0.03998222805749872,0.09162134050872828,0.3157709572186014,0.013208551553361956,0.012336985229672004,0.03578969772669966,0.0285962834148124,0.030150040875922275,0.011997749432822186,0.014332329375669074,0.013194189591327008
MFR,4_100_10,0.09978620663027518,0.11254358228159343,0.04638365471362815,0.10976013189725542,0.06773363724690258,0.037649569900311146,0.11069380381951167,0.23504070466687035,0.014236480343826371,0.0124980032308977,0.04868501436807319,0.025967393745673743,0.038174687678380954,0.012009946379064345,0.014934864284682523,0.013902318813053312
MFR,32_100_10,0.08143348171485491,0.14092422231630014,0.046964579713047266,0.10010191564112471,0.061708956622023074,0.029017714171750517,0.09042926334210766,0.27858257736702624,0.013491566726040504,0.012404992652936814,0.045675690449943976,0.02246864298745755,0.03648426567689481,0.011933660357979244,0.014837035417812826,0.013541434842699743
MFR,2_100_10,0.07170669562523599,0.10509855024680177,0.044813128796615906,0.13014873526318746,0.05529240781319185,0.03875804506483454,0.08954698160005799,0.29407725132385015,0.013095999941349048,0.01194252181236963,0.044885089751818145,0.028003450227536874,0.03267750646322462,0.012612733130698996,0.014232196130350053,0.013108706808876968
MFR,32_100_20,0.06946435841443968,0.12184796135932495,0.05339129554728355,0.0928249774435607,0.06176418187523668,0.03479135999124537,0.0871009076600936,0.2225787366597768,0.027744602964993256,0.025550194872058236,0.04560619915144594,0.03289131841910211,0.044244981443385796,0.02688754612449621,0.027144269151849892,0.02616710892170733
MFR,4_100_20,0.0882580015360215,0.09923314111347625,0.04738459108061365,0.09733798145309654,0.06543936507511602,0.049969266321160985,0.0973795993975845,0.19314999585203835,0.026036276882910315,0.025457111632492525,0.05148206623904099,0.03596310117717089,0.04205620245722769,0.026999988721595983,0.027282015913752428,0.026571295146701413
MFR,4_100_None,0.08946940189313338,0.09514365616579314,0.053949414274055495,0.09396723461260936,0.06769741343245228,0.04346139401921038,0.09702508685368919,0.19066375518231932,0.027356284061085683,0.026268904428142135,0.05039956242927666,0.03645967799843448,0.04271456220638381,0.028600500883637903,0.02884845272416189,0.027974698835614972
MFR,2_100_20,0.0738336855724497,0.09555744288267823,0.04893747021196547,0.10817137387095518,0.05651442750531977,0.04180652865930887,0.0823253885195664,0.23773317270188188,0.026210121741857807,0.025056268065572044,0.048887433216500735,0.03274255669103574,0.0419548736767632,0.026607819780670776,0.02712883283898033,0.026532604064493915
MFR,16_100_20,0.0818562432915549,0.08349299467630956,0.045604607685140776,0.09591964456673259,0.05710386565657388,0.04972419164296379,0.08098321144897003,0.24549370313528082,0.02735673051049461,0.024830572113880605,0.04875086081153674,0.0382813795750522,0.04131954752659342,0.026027047048157694,0.026747798415392023,0.026507601895366398
MFR,2_100_None,0.07032985073663857,0.09906315620039127,0.04691466658448169,0.10656884536245609,0.05595285803984146,0.04491928799119013,0.08373372494408995,0.23328917839813998,0.028242525147052947,0.026452112818772373,0.04564860407441821,0.03519300249526679,0.039180743122548024,0.027875789260460686,0.029081981460677246,0.027553673363574522
MFR,16_100_None,0.08276305305409432,0.08328301051051235,0.04941906134357439,0.09535356857606887,0.05348030686933455,0.04741108385824162,0.08051833947495352,0.2440064505316266,0.027466688783517035,0.026765784969272906,0.04587167124193103,0.038455318527581994,0.04236956002774869,0.027794588807000874,0.02789309909729359,0.02714841432724773
MFR,8_100_None,0.091035438602058,0.1022428279994898,0.04646591386521903,0.09002038289099148,0.05588683460796957,0.04971888190776412,0.08297553483653142,0.20937333422160645,0.02849155507309623,0.026796758631885288,0.047938840886145334,0.04161338986200585,0.04446709218106516,0.02805762074668032,0.028282872666783768,0.02663272102070814
MFR,8_100_20,0.09334080247413203,0.1049358459130081,0.04340234104897843,0.08746020281434991,0.05802653480812283,0.04855904350139189,0.08727833698381106,0.21112744087723972,0.026843020799756256,0.02507513426861504,0.05002612341774188,0.041948538233549965,0.042988700007261266,0.026719211023116723,0.02653686339479743,0.025731860434127413
MFR,32_100_None,0.0696598892931595,0.12364232555824768,0.05268704531939176,0.09086247774424805,0.0631921395421571,0.034375019832795534,0.07926078395270582,0.21683352117140564,0.028019062112031957,0.025651671884584712,0.046846177148801085,0.03684108268159156,0.049058598812102956,0.027824191421245897,0.027854347642778596,0.027391665882752162
MFR,8_1000_5,0.09711399484336115,0.14108890246475175,0.03933364014888004,0.12823315974358993,0.055343989650671443,0.03691834346060383,0.10860071601846841,0.2926855991461653,0.00260756692688147,0.0017557181813235533,0.04093360165623989,0.019841626790435215,0.027880352095440056,0.0010638360309321718,0.004398971241414383,0.0021999816008413647
MFR,32_1000_5,0.10636706242914862,0.12660706614080142,0.036851417661115514,0.14271384877409862,0.05379238259671473,0.032470682837627676,0.09199897565459944,0.31054288998049867,0.0022322926624441545,0.001722588521634149,0.03919575527695824,0.020296494682931585,0.027969226646394292,0.0011126775968971405,0.0036971542387743824,0.0024294842993614887
MFR,2_1000_5,0.09600959113033312,0.13064891160246825,0.039557941181428656,0.12221876456357161,0.0619827934813291,0.03206698060796837,0.09824487864745678,0.32012682597253744,0.002224042469173398,0.001688111514684036,0.03667859644842892,0.01958677833657496,0.03168140156187693,0.0012114191484651107,0.0042575249876249405,0.0018154383460784618
MFR,4_1000_5,0.11790469404575304,0.11678964205904621,0.03771013904101568,0.13760120108093987,0.05518489534437448,0.034488232863314955,0.09418081807530267,0.30174194767037626,0.0027646187221599186,0.0017452733191706381,0.038658877129550503,0.021105319602318588,0.03300108279715825,0.0010408323318237282,0.0037879588442908227,0.0022944670734043344
