dataset,dataset,recall,precision,f1_score,tss,confusion_matrix,samples_count
train,train,0.9176070998137394,0.8721232948037072,0.8942872397223706,0.7871907871544361,"[[8188, 1228], [752, 8375]]",18543
valid,valid,0.8755467196819086,0.8594847775175644,0.8674414024029939,0.7557862406399924,"[[2646, 360], [313, 2202]]",5521
valid2,valid2,0.9031838856400259,0.8725674827369743,0.8876117496807152,0.772384916567861,"[[1349, 203], [149, 1390]]",3091
test,test,0.8901601830663616,0.8600758054327227,0.874859437751004,0.7484455317547813,"[[2683, 443], [336, 2723]]",6185
test1,test1,0.8732581287325812,0.8562134027325959,0.8646517739816032,0.734001670005423,"[[1366, 221], [191, 1316]]",3094
test2,test2,0.9065721649484536,0.8637200736648251,0.8846274756365923,0.7623226522778883,"[[1317, 222], [145, 1407]]",3091
