HARPNUM,file_name,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,USFLUXL,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,MEANJZD,MEANALP,SHRGT45
86,hmi.sharp_cea_720s.86.20100717_180000_TAI,722.300204932552,6.5242764363893695e+22,83685472548513.84,34.462895038697305,1963059573819.516,1.0060712631824045e+22,4.372396677498878e+21,675.3956895905334,2.340368597817581,55.8662972964202,52.72392011691395,47.71622442881744,45.54896699523159,32.43370070403539,-0.0004757242941167,-0.0245541716002667,-0.0136777398369835,58.06318568011218
86,hmi.sharp_cea_720s.86.20100718_080000_TAI,423.365750037946,3.074853175651767e+22,33883180330766.85,35.170809264555416,1758578984582.3755,6.905631010518545e+21,2.890918732660213e+21,673.2157455262522,2.8048333504523826,46.40594145887773,45.290052843959984,54.62056371076447,53.94772064334007,31.00885187736313,-0.0010226748063317,0.0537697772674977,-0.0197201952025706,42.89951151430566
1,hmi.sharp_cea_720s.1.20100503_080000_TAI,301.16087954018104,2.406175794872096e+22,10482557592100.154,0.1426595837909521,1585722397818.5068,6.228653278492674e+21,2.3694160688184793e+21,1253.073022664562,3.177658910882047,32.64670045464158,35.651606918151515,66.78415353631807,68.34347960980209,32.26068779825108,9.86717276185863e-06,-0.0481226152395263,5.271969754353288e-05,20.029047651981465
1,hmi.sharp_cea_720s.1.20100509_080000_TAI,203.8991608113504,1.3892082374788038e+22,14921695497749.443,9.01958580990522,455386498630.3605,3.1682606594971213e+21,1.3992760227683432e+21,757.7914313450567,0.0,46.789851818786325,42.04304978782372,62.6734414286743,61.28915259277235,33.8810630933977,-0.0006534511200395,-0.0032351422360432,-0.0094222590784952,44.22631121414083
1,hmi.sharp_cea_720s.1.20100508_080000_TAI,219.29495606137183,1.511469236846015e+22,22682534961547.777,13.575145510427584,674786809410.9954,2.884771551219231e+21,1.4505646116699408e+21,574.5160395771139,0.0,55.57656163986286,49.24066394977657,51.37347236799008,46.614156683939605,32.42898878337084,-0.000685717306179,0.0028128459899239,-0.019144999936285,59.6113074204947
1,hmi.sharp_cea_720s.1.20100502_060000_TAI,226.77259726959727,1.8218893539312128e+22,9037785955363.172,26.93244657929973,2847575513192.4204,5.352288732865788e+21,1.461136057533947e+21,1032.3264010544965,2.8169027275125966,31.0540960937414,35.06861295226612,57.899467385394,63.43052692288529,30.77251113037661,-0.0020272823921189,-0.2837465078961059,-0.0127092783620801,19.602678907367
1,hmi.sharp_cea_720s.1.20100506_080000_TAI,147.26270188111002,1.088525823064854e+22,17665616394054.715,15.28430594207614,1625452314005.4246,2.1150802367001996e+21,1.1528060972535691e+21,484.5387177940726,0.0,57.392941031084455,50.11731303593884,45.64643829870603,41.644671381870126,30.330903597602852,-0.0009037016461938,-0.1606833672642653,-0.0300760663294741,61.01915346417592
1,hmi.sharp_cea_720s.1.20100505_080000_TAI,392.5997952783642,2.760083715927887e+22,45460178393235.17,6.968162674207196,773965770033.1084,6.015281629306034e+21,2.8767229222162944e+21,461.2104906015038,1.84433697992052,55.55717666689827,45.69286009346707,45.32470203339602,42.44340985008593,28.91339783269007,-0.0001550755034986,-0.0279486586009141,-0.0049634560875583,57.773733966535005
1,hmi.sharp_cea_720s.1.20100504_080000_TAI,184.99065189806967,1.2699309825532914e+22,12186842377679.45,1.2509577738271556,965863039107.4248,3.138550095798931e+21,1.5345230538117323e+21,714.0925594601407,0.0,44.249414758998284,40.70291467049923,58.29342499529706,57.765425919070495,31.62087030381424,9.342477773167704e-05,-0.1348215993399242,0.0012030091677215,40.04928683444105
1,hmi.sharp_cea_720s.1.20100507_080000_TAI,295.1710817104008,2.191424386490495e+22,46572603970905.625,9.628731131115444,2255223814864.7,3.896849443653394e+21,2.058852357797958e+21,396.98640498635785,0.0,61.83793234802465,55.05259245819156,39.963562400367,33.87916313588655,29.21966695231648,-0.0002325218819395,0.0400549418675066,-0.0128347883353022,69.11177404609536
5,hmi.sharp_cea_720s.5.20100501_080000_TAI,60.6317739069936,4.895155748318529e+21,11928482451667.12,2.0312533085135485,574662723579.4016,7.680252798677349e+20,4.163184086192384e+20,358.48940467115153,0.0,65.22403366319574,61.51302465160455,38.28122010056694,31.079399083785344,29.893181538785765,0.0002038387665342,0.0997819689868569,0.0157266343715438,73.92530636063023
5,hmi.sharp_cea_720s.5.20100502_150000_TAI,79.04051007634406,5.621438590522028e+21,11020691548045.186,7.457247175817633,464609920824.4476,1.0579938617210882e+21,4.2045828254051664e+20,410.7985796732568,0.0,56.1234947112473,52.81572858803772,40.67927453666044,37.6773248150078,28.285676734860257,-0.0007369549536335,0.0844204513629846,-0.052951356585068,62.09239130434783
2,hmi.sharp_cea_720s.2.20100503_080000_TAI,145.13408690497917,1.124785818715306e+22,30024670904400.69,9.20705444996956,1408702059458.79,1.856594197276429e+21,1.2452300226617297e+21,304.39502614207174,0.0,67.64272980625645,60.497589588992255,35.861439501982275,26.663650555368857,28.004918318769445,-0.0003330941156242,-0.0035324664907631,-0.0292029648223438,74.946089706728
5,hmi.sharp_cea_720s.5.20100503_050000_TAI,83.47269062572474,5.942499966542656e+21,10575071591203.973,0.7812699089228743,1287806921513.069,1.2548730003632578e+21,3.9336872111267886e+20,444.3520080136372,0.0,52.22755981681724,49.48589310874048,43.84618631100782,44.23750662549565,28.253755183390385,7.836993769915481e-05,0.2391690010244508,0.0042080369422451,54.26017874875869
2,hmi.sharp_cea_720s.2.20100501_080000_TAI,109.18576242072872,6.589979653869244e+21,8550903351661.007,6.874310978540274,1532504694902.7346,1.411201359337881e+21,9.08910921676246e+20,576.1923159866085,1.8991460812190208,49.38442379628307,45.59786683263036,59.10444790579263,54.83089449707476,34.89167804066208,-0.0008034491559771,-0.3331279410551369,-0.0188282349260543,49.14073385973061
2,hmi.sharp_cea_720s.2.20100504_080000_TAI,172.5112626685954,1.4687418146814471e+22,39409411059986.34,7.957081231957152,492166054671.5458,2.1213040215796975e+21,1.1411120732461289e+21,322.2445486958265,0.0,66.34336959824061,63.32844321390228,34.82734686539886,26.11492933492516,28.339275980200963,-0.000233277080972,-0.0268053396776333,-0.0310757222563476,75.96736596736596
2,hmi.sharp_cea_720s.2.20100505_000000_TAI,150.17471446097943,1.3326379797077824e+22,43765561619797.125,0.3999811651894202,1037378644645.8768,2.277749572955147e+21,8.571145399527596e+20,217.2270758085409,0.0,67.19896442063597,58.68370996829891,28.708872310185907,23.84253564479328,23.57660602832727,8.731497417307085e-06,-0.0419809046055765,0.0017329461428794,74.44689786552367
2,hmi.sharp_cea_720s.2.20100502_080000_TAI,181.363907258389,1.5305762650382735e+22,40396493775659.305,11.554774528074155,890757636486.856,2.4079479355678995e+21,1.426173911616263e+21,296.1135869641403,0.0,67.17663085609202,58.735919212544665,33.457572649973045,25.517332361316186,26.62869424810653,-0.000299005654903,0.0138562803209891,-0.0325794475313747,75.02119678322757
