Model,Dataset,Tp,Fp,Tn,Fn,Accuracy,Precision,Recall,Specificity,F1,Tss
FCNN,MFR,2765.73333 ,614.63333 ,2511.36667 ,293.26667 ,0.85321 ,0.81825 ,0.90413 ,0.80338 ,0.85901 ,0.70751 
FCNN,SHARP,2794.06667 ,603.90000 ,2522.10000 ,264.93333 ,0.85953 ,0.82238 ,0.91339 ,0.80681 ,0.86546 ,0.72021 
RF,MFR,2765.16667 ,568.15000 ,2557.85000 ,293.83333 ,0.86063 ,0.82984 ,0.90394 ,0.81825 ,0.86521 ,0.72219 
RF,SHARP,2774.46667 ,539.35000 ,2586.65000 ,284.53333 ,0.86679 ,0.83791 ,0.90698 ,0.82746 ,0.87082 ,0.73445 
SVM,MFR,2605.25000 ,746.25000 ,2379.75000 ,453.75000 ,0.80598 ,0.77625 ,0.85167 ,0.76128 ,0.81165 ,0.61294 
SVM,SHARP,2646.91667 ,742.33333 ,2383.66667 ,412.08333 ,0.81335 ,0.78118 ,0.86529 ,0.76253 ,0.82043 ,0.62782 
