file_name,label,weighted pii_pos,weighted pii_neg,entire pii_pos,entire pii_neg,entire_iou_info,combined_info
hmi.sharp_cea_720s.2.20100501_080000_TAI,0,nan,nan,0.30275229357798167,0.09428571428571429,"[497, 266, 317, 383]","[[-36, nan, 0, 0, 3], [-32, 1.0, 5, 0, 23], [-29, 1.0, 0, 5, 37], [-28, 1.0, 0, 15, 42], [-27, nan, 0, 0, 45], [-24, 1.0, 1, 0, 119], [-23, 1.0, 12, 0, 122], [-22, 1.0, 0, 25, 150], [-19, 1.0, 46, 0, 214], [-14, 1.0, 0, 338, 461], [-5, 1.0, 253, 0, 1885], [1, 0.6303630363036303, 56, 247, 16708], [2, nan, 0, 0, 8871], [3, 0.948051948051948, 225, 6, 3284], [4, nan, 0, 0, 2333], [6, nan, 0, 0, 1657], [7, 1.0, 0, 8, 1172], [8, 1.0, 216, 0, 1087], [9, nan, 0, 0, 884], [10, nan, 0, 0, 853], [11, nan, 0, 0, 779], [12, nan, 0, 0, 527], [13, nan, 0, 0, 481], [15, nan, 0, 0, 420], [16, nan, 0, 0, 324], [17, nan, 0, 0, 268], [18, nan, 0, 0, 250], [20, nan, 0, 0, 192], [21, nan, 0, 0, 185], [25, nan, 0, 0, 101], [26, nan, 0, 0, 73], [30, 1.0, 0, 5, 37], [31, nan, 0, 0, 27], [33, nan, 0, 0, 17], [34, nan, 0, 0, 13], [35, nan, 0, 0, 4]]"
hmi.sharp_cea_720s.2.20100502_080000_TAI,0,nan,nan,0.4823529411764706,0.014629049111807733,"[189, 66, 971, 943]","[[-45, nan, 0, 0, 4], [-41, 1.0, 0, 1, 34], [-39, nan, 0, 0, 40], [-35, 1.0, 17, 0, 115], [-33, 1.0, 13, 0, 145], [-31, 1.0, 0, 57, 203], [-28, 1.0, 63, 0, 210], [-27, 1.0, 0, 68, 263], [-23, 1.0, 51, 0, 392], [-22, 1.0, 12, 0, 405], [-20, 1.0, 0, 182, 473], [-19, 1.0, 56, 0, 479], [-17, 1.0, 0, 170, 552], [-15, 1.0, 0, 353, 722], [-14, 1.0, 63, 0, 841], [-13, 1.0, 0, 112, 909], [-12, 1.0, 86, 0, 1078], [-9, 1.0, 287, 0, 1492], [-6, 1.0, 323, 0, 1980], [1, 1.0, 0, 9, 9826], [2, 1.0, 0, 1, 6831], [3, nan, 0, 0, 4161], [4, 1.0, 0, 31, 3428], [5, nan, 0, 0, 2185], [7, nan, 0, 0, 1579], [8, nan, 0, 0, 1505], [10, 1.0, 105, 0, 1364], [11, 1.0, 80, 0, 1278], [16, nan, 0, 0, 573], [18, nan, 0, 0, 495], [21, nan, 0, 0, 465], [24, nan, 0, 0, 382], [25, nan, 0, 0, 313], [26, nan, 0, 0, 277], [29, 1.0, 0, 7, 208], [30, 1.0, 4, 0, 204], [32, 1.0, 0, 2, 156], [34, nan, 0, 0, 127], [36, nan, 0, 0, 101], [37, nan, 0, 0, 98], [38, 1.0, 0, 16, 59], [40, nan, 0, 0, 39], [42, nan, 0, 0, 12], [43, nan, 0, 0, 9], [44, nan, 0, 0, 7], [46, nan, 0, 0, 2], [47, nan, 0, 0, 1]]"
hmi.sharp_cea_720s.2.20100503_080000_TAI,0,nan,nan,0.423728813559322,0.009749303621169917,"[252, 102, 725, 711]","[[-47, 1.0, 0, 2, 26], [-46, 1.0, 0, 4, 35], [-44, 1.0, 0, 8, 44], [-41, 1.0, 0, 16, 52], [-36, nan, 0, 0, 90], [-27, 1.0, 91, 0, 240], [-25, 1.0, 30, 0, 304], [-24, 1.0, 0, 58, 308], [-23, 1.0, 0, 42, 342], [-21, 1.0, 0, 140, 427], [-19, 1.0, 0, 128, 506], [-17, 1.0, 0, 140, 530], [-14, 1.0, 0, 173, 698], [-10, 1.0, 120, 0, 1230], [-9, 1.0, 148, 0, 1466], [-7, 1.0, 118, 0, 1581], [-3, 1.0, 218, 0, 2855], [1, 0.1111111111111111, 10, 8, 3257], [2, 1.0, 0, 11, 3207], [4, 1.0, 0, 4, 2149], [5, 1.0, 209, 0, 2144], [6, nan, 0, 0, 1834], [8, 1.0, 33, 0, 1549], [11, 1.0, 0, 47, 1215], [12, nan, 0, 0, 982], [13, nan, 0, 0, 834], [15, nan, 0, 0, 682], [16, nan, 0, 0, 607], [18, nan, 0, 0, 506], [20, nan, 0, 0, 499], [22, nan, 0, 0, 347], [26, nan, 0, 0, 255], [28, nan, 0, 0, 237], [29, nan, 0, 0, 229], [30, nan, 0, 0, 181], [31, nan, 0, 0, 120], [32, nan, 0, 0, 119], [33, nan, 0, 0, 102], [34, nan, 0, 0, 96], [35, nan, 0, 0, 91], [37, nan, 0, 0, 83], [38, nan, 0, 0, 76], [39, nan, 0, 0, 63], [40, nan, 0, 0, 58], [42, nan, 0, 0, 49], [43, nan, 0, 0, 45], [45, 1.0, 0, 32, 35], [48, nan, 0, 0, 6], [49, nan, 0, 0, 5], [50, nan, 0, 0, 4], [51, nan, 0, 0, 2]]"
hmi.sharp_cea_720s.2.20100504_080000_TAI,0,nan,nan,0.557632398753894,0.36585365853658536,"[71, 250, 812, 377]","[[-44, 1.0, 0, 2, 2], [-39, 1.0, 0, 7, 18], [-37, 1.0, 0, 11, 29], [-36, 1.0, 0, 4, 34], [-34, nan, 0, 0, 51], [-33, 1.0, 0, 2, 70], [-31, 1.0, 0, 21, 75], [-30, 1.0, 0, 28, 96], [-29, 1.0, 26, 0, 100], [-25, 1.0, 19, 0, 186], [-24, 1.0, 0, 70, 228], [-22, 1.0, 42, 0, 265], [-19, 1.0, 0, 47, 299], [-18, 1.0, 67, 0, 337], [-17, 1.0, 0, 115, 344], [-14, 1.0, 48, 0, 424], [-11, 1.0, 0, 70, 566], [-8, 1.0, 250, 0, 822], [-7, 1.0, 177, 0, 1040], [-5, 1.0, 183, 0, 1245], [1, 0.7111913357400722, 40, 237, 9310], [2, 0.7142857142857143, 6, 1, 4363], [3, 1.0, 0, 7, 2855], [4, 1.0, 25, 0, 1374], [6, 1.0, 0, 3, 1066], [9, nan, 0, 0, 721], [10, nan, 0, 0, 605], [12, nan, 0, 0, 519], [13, nan, 0, 0, 476], [15, nan, 0, 0, 410], [16, nan, 0, 0, 378], [20, nan, 0, 0, 298], [21, nan, 0, 0, 280], [23, nan, 0, 0, 252], [26, 1.0, 0, 2, 182], [27, nan, 0, 0, 176], [28, nan, 0, 0, 144], [32, nan, 0, 0, 72], [35, nan, 0, 0, 40], [38, nan, 0, 0, 20], [40, nan, 0, 0, 12], [41, nan, 0, 0, 12], [42, nan, 0, 0, 6], [43, nan, 0, 0, 4]]"
hmi.sharp_cea_720s.2.20100505_000000_TAI,0,nan,nan,0.5127272727272727,0.03145695364238411,"[67, 208, 623, 585]","[[-35, nan, 0, 0, 7], [-33, nan, 0, 0, 24], [-32, 1.0, 14, 0, 36], [-30, 1.0, 2, 0, 44], [-28, nan, 0, 0, 83], [-27, 1.0, 0, 14, 108], [-26, nan, 0, 0, 115], [-25, 1.0, 0, 34, 122], [-24, 1.0, 0, 54, 131], [-23, 1.0, 19, 0, 154], [-20, 1.0, 62, 0, 263], [-18, 1.0, 0, 25, 357], [-17, 1.0, 0, 55, 380], [-15, 1.0, 0, 55, 421], [-14, 1.0, 0, 114, 503], [-11, 1.0, 0, 109, 594], [-8, 1.0, 256, 0, 801], [-7, 0.953125, 3, 125, 1222], [-5, 1.0, 267, 0, 1348], [1, 1.0, 53, 0, 17363], [2, 1.0, 14, 0, 9996], [3, 1.0, 0, 205, 7573], [4, nan, 0, 0, 2329], [6, nan, 0, 0, 1263], [9, 1.0, 0, 3, 679], [10, nan, 0, 0, 611], [12, nan, 0, 0, 562], [13, nan, 0, 0, 540], [16, nan, 0, 0, 419], [19, nan, 0, 0, 271], [21, nan, 0, 0, 179], [22, nan, 0, 0, 157], [29, nan, 0, 0, 76], [31, nan, 0, 0, 39], [34, nan, 0, 0, 8], [36, nan, 0, 0, 6], [37, nan, 0, 0, 1], [38, nan, 0, 0, 1]]"
hmi.sharp_cea_720s.5.20100501_080000_TAI,0,nan,nan,1.0,1.0,"[292, 0, 489, 0]","[[-32, nan, 0, 0, 2], [-29, nan, 0, 0, 6], [-28, nan, 0, 0, 12], [-26, nan, 0, 0, 15], [-25, nan, 0, 0, 15], [-22, nan, 0, 0, 41], [-21, nan, 0, 0, 42], [-17, nan, 0, 0, 69], [-16, nan, 0, 0, 81], [-15, nan, 0, 0, 90], [-14, nan, 0, 0, 103], [-11, nan, 0, 0, 165], [-10, 1.0, 61, 0, 177], [-8, 1.0, 17, 0, 219], [-6, 1.0, 16, 0, 334], [-5, 1.0, 189, 0, 353], [-3, 1.0, 74, 0, 943], [-2, 1.0, 132, 0, 1250], [1, 1.0, 95, 0, 2691], [4, 1.0, 130, 0, 727], [7, 1.0, 59, 0, 304], [9, 1.0, 2, 0, 203], [12, nan, 0, 0, 148], [13, nan, 0, 0, 118], [18, nan, 0, 0, 62], [19, nan, 0, 0, 55], [20, 1.0, 6, 0, 46], [23, nan, 0, 0, 35], [24, nan, 0, 0, 16], [27, nan, 0, 0, 13], [30, nan, 0, 0, 5], [31, nan, 0, 0, 5], [33, nan, 0, 0, 1]]"
hmi.sharp_cea_720s.5.20100502_150000_TAI,0,nan,nan,1.0,1.0,"[280, 0, 174, 0]","[[-26, nan, 0, 0, 2], [-25, nan, 0, 0, 4], [-24, nan, 0, 0, 6], [-23, 1.0, 1, 0, 6], [-21, nan, 0, 0, 13], [-19, nan, 0, 0, 18], [-18, nan, 0, 0, 22], [-17, nan, 0, 0, 37], [-15, 1.0, 9, 0, 68], [-14, nan, 0, 0, 75], [-12, 1.0, 6, 0, 86], [-11, nan, 0, 0, 99], [-9, nan, 0, 0, 171], [-8, nan, 0, 0, 226], [-6, 1.0, 143, 0, 454], [-2, 1.0, 15, 0, 1521], [1, 1.0, 198, 0, 4346], [3, 1.0, 22, 0, 1196], [4, 1.0, 8, 0, 970], [5, 1.0, 23, 0, 491], [7, 1.0, 27, 0, 453], [10, nan, 0, 0, 131], [13, nan, 0, 0, 82], [16, nan, 0, 0, 62], [20, 1.0, 2, 0, 13], [22, nan, 0, 0, 11]]"
hmi.sharp_cea_720s.5.20100503_050000_TAI,0,nan,nan,1.0,1.0,"[388, 0, 19, 0]","[[-19, nan, 0, 0, 6], [-13, nan, 0, 0, 21], [-11, nan, 0, 0, 60], [-10, 1.0, 10, 0, 74], [-6, 1.0, 9, 0, 108], [-5, nan, 0, 0, 130], [-4, nan, 0, 0, 221], [1, 1.0, 190, 0, 3662], [2, 1.0, 31, 0, 2456], [3, 1.0, 164, 0, 2129], [7, nan, 0, 0, 88], [8, nan, 0, 0, 76], [9, nan, 0, 0, 76], [12, nan, 0, 0, 60], [14, 1.0, 2, 0, 21], [15, nan, 0, 0, 15], [16, 1.0, 1, 0, 15], [17, nan, 0, 0, 14], [18, nan, 0, 0, 12]]"
hmi.sharp_cea_720s.6.20100501_080000_TAI,0,nan,nan,1.0,1.0,"[0, 644, 0, 408]","[[-26, nan, 0, 0, 6], [-25, nan, 0, 0, 6], [-22, nan, 0, 0, 13], [-21, nan, 0, 0, 16], [-15, 1.0, 0, 24, 72], [-14, 1.0, 0, 21, 91], [-13, nan, 0, 0, 140], [-10, 1.0, 0, 119, 218], [-9, 1.0, 0, 23, 219], [-8, 1.0, 0, 71, 332], [-7, 1.0, 0, 150, 399], [1, 1.0, 0, 125, 959], [2, 1.0, 0, 185, 836], [3, 1.0, 0, 88, 792], [4, 1.0, 0, 48, 659], [5, 1.0, 0, 134, 597], [6, 1.0, 0, 44, 548], [11, 1.0, 0, 10, 201], [12, 1.0, 0, 4, 151], [16, nan, 0, 0, 56], [17, 1.0, 0, 1, 51], [18, nan, 0, 0, 37], [19, nan, 0, 0, 30], [20, nan, 0, 0, 25], [23, nan, 0, 0, 9], [24, 1.0, 0, 5, 7], [27, nan, 0, 0, 1]]"
hmi.sharp_cea_720s.6.20100502_080000_TAI,0,nan,nan,1.0,1.0,"[0, 519, 0, 560]","[[-31, nan, 0, 0, 1], [-29, 1.0, 0, 1, 1], [-27, nan, 0, 0, 3], [-26, nan, 0, 0, 5], [-25, nan, 0, 0, 8], [-24, nan, 0, 0, 15], [-23, nan, 0, 0, 21], [-21, nan, 0, 0, 25], [-20, nan, 0, 0, 33], [-19, 1.0, 0, 1, 37], [-17, 1.0, 0, 2, 66], [-12, 1.0, 0, 96, 156], [-10, 1.0, 0, 135, 198], [-5, 1.0, 0, 77, 368], [-4, 1.0, 0, 248, 502], [1, 1.0, 0, 144, 2029], [2, nan, 0, 0, 737], [3, 1.0, 0, 18, 539], [6, 1.0, 0, 77, 357], [7, 1.0, 0, 39, 332], [8, 1.0, 0, 132, 304], [9, nan, 0, 0, 260], [11, 1.0, 0, 15, 185], [13, nan, 0, 0, 104], [14, 1.0, 0, 18, 102], [15, 1.0, 0, 48, 96], [16, 1.0, 0, 26, 93], [18, nan, 0, 0, 49], [22, 1.0, 0, 2, 23], [28, nan, 0, 0, 2], [30, nan, 0, 0, 1]]"
