model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
RF,rs=2|n_est=50|depth=5,3.685454,0.8502829426030719,0.8090408577223993,0.9127165740438051,0.8577572964669739,0.7019040340566011,2467,659,267,2792
RF,rs=2|n_est=50|depth=10,6.247263,0.8685529506871463,0.8316597755463674,0.9205622752533508,0.873855702094647,0.7382206245815657,2556,570,243,2816
RF,rs=2|n_est=50|depth=20,7.166402,0.8734033953112369,0.8562930494677521,0.8940830336711344,0.8747801055493363,0.7472500202354339,2667,459,324,2735
RF,rs=2|n_est=50|depth=None,7.587265,0.8679062247372675,0.8558730158730159,0.8813337692056228,0.8684168143018199,0.7361002439337098,2672,454,363,2696
RF,rs=2|n_est=100|depth=5,7.285049,0.85125303152789,0.8106302643043857,0.9123896698267407,0.8585050753614273,0.7038164132688393,2474,652,268,2791
RF,rs=2|n_est=100|depth=10,9.034493,0.8698464025869038,0.8324483775811209,0.9225237005557372,0.8751744456504884,0.7408218451494673,2558,568,237,2822
RF,rs=2|n_est=100|depth=20,14.337981,0.8767987065481002,0.8561240310077519,0.9025825433148088,0.8787396562698918,0.7541500417153206,2662,464,298,2761
RF,rs=2|n_est=100|depth=None,14.275698,0.8737267582861762,0.857950974230044,0.8924485125858124,0.8748597981092774,0.7478547825794144,2674,452,329,2730
RF,rs=2|n_est=1000|depth=5,50.366114,0.8515763945028294,0.8101999420457838,0.9140241909120628,0.8589861751152074,0.7044912414558888,2471,655,263,2796
RF,rs=2|n_est=1000|depth=10,80.832242,0.8685529506871463,0.8299059929494712,0.9235044132069303,0.8742070246015782,0.7382836838403276,2547,579,234,2825
RF,rs=2|n_est=1000|depth=20,106.462224,0.877445432497979,0.8556414219474497,0.9048708728342596,0.8795678423895774,0.7554786783364988,2659,467,291,2768
RF,rs=2|n_est=1000|depth=None,110.444521,0.87696038803557,0.8597370068879149,0.8976789800588427,0.8782984167599552,0.7543648405834749,2678,448,313,2746
RF,rs=4|n_est=50|depth=5,3.61328,0.8502829426030719,0.8086830680173661,0.913370382477934,0.8578446423088733,0.7019180472252149,2465,661,265,2794
RF,rs=4|n_est=50|depth=10,4.31245,0.8675828617623282,0.8301886792452831,0.9205622752533508,0.8730429390792125,0.7363012387850206,2550,576,243,2816
RF,rs=4|n_est=50|depth=20,7.851086,0.8714632174616006,0.8506815365551424,0.8976789800588427,0.8735485923333863,0.7434883210697192,2644,482,313,2746
RF,rs=4|n_est=50|depth=None,8.271843,0.8753435731608731,0.8604284814114682,0.8927754168028768,0.8763035456441521,0.7510607654912964,2683,443,328,2731
RF,rs=4|n_est=100|depth=5,5.153362,0.8497978981406629,0.8081597222222222,0.9130434782608695,0.8574059861857253,0.7009513477426353,2463,663,266,2793
RF,rs=4|n_est=100|depth=10,11.052599,0.8693613581244948,0.8309320788003528,0.9238313174239948,0.874922600619195,0.7398901785884222,2551,575,233,2826
RF,rs=4|n_est=100|depth=20,13.555304,0.8737267582861762,0.8508934072704868,0.9029094475318732,0.8761300555114988,0.7480789932772347,2642,484,297,2762
RF,rs=4|n_est=100|depth=None,13.258824,0.8772837510105093,0.8602756892230576,0.8976789800588427,0.8785794272916333,0.7550046358489899,2680,446,313,2746
RF,rs=4|n_est=1000|depth=5,48.693138,0.85125303152789,0.8097306689834927,0.9140241909120628,0.8587223587223587,0.7038514461903738,2469,657,263,2796
RF,rs=4|n_est=1000|depth=10,85.330347,0.8679062247372675,0.829512051734274,0.9225237005557372,0.8735489862250425,0.7369830735563769,2546,580,237,2822
