model,parameters,training_time,accuracy,precision,recall,f1,tss,tn,fp,fn,tp
FCNN,rs=16|alpha=0.1|dropout=0.5,16.681294,0.8520614389652384,0.8147386964180857,0.9071592023537104,0.8584686774941995,0.7053037960837167,2495,631,284,2775
FCNN,rs=16|alpha=0.1|dropout=0.7,17.418555,0.8496362166531932,0.8088192631273571,0.9114089571755476,0.8570550261297264,0.7005964171883435,2467,659,271,2788
FCNN,rs=32|alpha=0|dropout=0.1,8.895911,0.8565885206143896,0.8282950423216445,0.8957175547564563,0.8606879220983195,0.7140156993501863,2558,568,319,2740
FCNN,rs=32|alpha=0|dropout=0.3,19.172283,0.8552950687146321,0.8243405275779376,0.8989865969271004,0.8600469116497264,0.7115265841311951,2540,586,309,2750
FCNN,rs=32|alpha=0|dropout=0.5,14.29758,0.8540016168148747,0.8172454384932313,0.9078130107878392,0.8601517732693201,0.7091565808454208,2505,621,282,2777
FCNN,rs=32|alpha=0|dropout=0.7,23.758007,0.8502829426030719,0.8106612292455578,0.9097744360902256,0.8573629081947012,0.7018409747978391,2476,650,276,2783
FCNN,rs=32|alpha=0.01|dropout=0.1,9.107426,0.8572352465642684,0.8287009063444108,0.8966982674076496,0.8613597111006437,0.7153163096341371,2559,567,316,2743
FCNN,rs=32|alpha=0.01|dropout=0.3,21.435253,0.8570735650767987,0.825696316262354,0.9012749264465512,0.861831822444514,0.7150945041816759,2544,582,302,2757
FCNN,rs=32|alpha=0.01|dropout=0.5,13.898723,0.8515763945028294,0.813653677116906,0.9078130107878392,0.8581582200247219,0.704358116354058,2490,636,282,2777
FCNN,rs=32|alpha=0.01|dropout=0.7,20.702395,0.8483427647534357,0.8098159509202454,0.9061784897025171,0.8552915766738661,0.6979251307773732,2475,651,287,2772
FCNN,rs=32|alpha=0.1|dropout=0.1,14.76304,0.8586903799514956,0.8252456088121465,0.9061784897025171,0.8638205048301651,0.7183985792738543,2539,587,287,2772
FCNN,rs=32|alpha=0.1|dropout=0.3,22.966505,0.8573969280517381,0.8250223947447,0.9032363517489376,0.8623595505617978,0.7157763389530323,2540,586,296,2763
FCNN,rs=32|alpha=0.1|dropout=0.5,15.775153,0.8509296685529507,0.8125182801988886,0.9081399150049035,0.8576721210250077,0.7030855324073347,2485,641,281,2778
FCNN,rs=32|alpha=0.1|dropout=0.7,23.24352,0.8501212611156023,0.8091647331786543,0.9120627656096764,0.8575380359612724,0.7015701232552298,2468,658,269,2790
