file_name,HARPNUM,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,USFLUXL,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,MEANJZD,MEANALP,SHRGT45
hmi.sharp_cea_720s.1.20100502_060000_TAI,1,339.2947859709976,2.321629982902101e+22,6722885209476.8,15.152908802536873,2130295585893.9016,7.91358521610043e+21,3.137802067902118e+21,1457.282952149729,3.118347445578925,19.250884128765883,25.11578672617196,79.53624259284051,81.26180285456864,33.77563325250796,-0.0012631634546963,-0.332268078843359,-0.0040596730012316,2.9343114371457157
hmi.sharp_cea_720s.1.20100503_080000_TAI,1,464.7977223769557,4.149553713415451e+22,10165288540857.45,36.11413471788873,1648871970454.691,1.0032280193812146e+22,5.049348394228649e+21,1852.24886211305,3.376380364554094,23.990805945159792,28.60283188214902,85.40880351783736,85.47166319187959,33.75834619840499,0.0021408580661502,-0.0457506465798222,0.0080891528637571,4.564585926848064
hmi.sharp_cea_720s.1.20100504_080000_TAI,1,352.56116653993035,2.87280803660312e+22,8085610278500.884,10.554082535578008,1944144321461.3232,6.871374689837151e+21,5.234867293660306e+21,1877.7662418090224,0.0,24.655300155246216,29.632785278093905,105.20963084218558,104.1786015355114,41.60043475408816,0.0009162325319539,0.3154517635485214,0.0035488398239065,4.157986111111111
hmi.sharp_cea_720s.1.20100505_080000_TAI,1,310.0168958433279,2.131553268458186e+22,7315586166919.184,2.9131851440887675,1714100098011.084,5.116295372307156e+21,5.819948733199799e+21,1840.6325204890852,2.2348518348497333,24.275095092728385,29.74099759650008,117.05986146417534,114.38491260399726,47.55132733516304,0.0003340808651477,0.3672494116020502,0.0013873968056108,3.2224770642201834
hmi.sharp_cea_720s.1.20100506_080000_TAI,1,257.03396367887603,1.5586354711662166e+22,5750055068536.063,7.710864889422649,2172672679614.7693,3.727474230905016e+21,5.738309454779645e+21,1941.8135438412296,0.0,23.199304088732998,30.1255680526505,133.0937567466252,130.11461648006974,55.89135729635901,-0.0012757883668799,0.6712709559482616,-0.0049473511621134,3.226340172071476
hmi.sharp_cea_720s.1.20100507_080000_TAI,1,205.77630523661963,1.146686545705572e+22,4709626104622.613,18.23344411377841,732385827878.7415,2.9387773551815054e+21,5.176710495705851e+21,1782.4935204327771,0.0,22.861672379082307,29.39220615445818,129.60079437397488,127.36638518005384,53.76059648208152,-0.00376412966841,0.2508190780483542,-0.0154238642680646,3.42691990090834
hmi.sharp_cea_720s.1.20100508_080000_TAI,1,263.5022300743553,1.3605301784768154e+22,5908960414882.082,15.77752692954157,481648956107.2158,3.656049050241728e+21,4.988158439873986e+21,1722.6520376419137,0.0,22.838231784640172,27.94065106397677,127.75472486528272,126.77538984550976,47.93764594761924,-0.0026530228568255,-0.1510918093144692,-0.0105214130386998,2.791323356314108
hmi.sharp_cea_720s.1.20100509_080000_TAI,1,247.65101945749396,1.5289265071861327e+22,5648679563794.572,15.208679150999222,865042878140.935,4.224882995931696e+21,3.9691366376552986e+21,1688.0664035090963,0.0,23.09519202362309,26.91950574925907,116.197344669447,116.07152851930712,40.256715283171744,-0.0022300116057183,-0.236513397827449,-0.0087470696633163,3.2551319648093844
hmi.sharp_cea_720s.1.20100510_080000_TAI,1,238.4685614810668,1.5493651429183587e+22,5280854643698.744,9.337800277601794,814080176509.3823,5.436352637114907e+21,2.994078517068167e+21,1377.392440044748,0.0,20.52184801900951,24.64554424165765,100.33718530118222,100.05034630869083,33.854158032463864,-0.0011024557588667,-0.1791363152742575,-0.0040314933830506,0.3187721369539551
hmi.sharp_cea_720s.1.20100511_050000_TAI,1,126.29529081073842,6.41277825922715e+21,3044194517079.768,13.681302162030097,702433582583.2373,3.606545483420927e+21,1.5499648506850863e+21,791.8557993828351,0.0,16.97083656371298,21.230012194191627,81.26347543034649,81.56479604513117,24.12070691393367,-0.0022435720173876,-0.1250157913429878,-0.0099566820533394,0.0655952771400459
