file_name,HARPNUM,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,USFLUXL,MEANPOT,R_VALUE,MEANSHR,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,MEANJZD,MEANALP,SHRGT45
hmi.sharp_cea_720s.1.20100502_060000_TAI,1,226.77259726959727,1.8218893539312128e+22,9037785955363.172,26.93244657929973,2847575513192.4204,5.352288732865788e+21,1.461136057533947e+21,1032.3264010544965,2.8169027275125966,31.0540960937414,35.06861295226612,57.899467385394,63.43052692288529,30.77251113037661,-0.0020272823921189,-0.2837465078961059,-0.0127092783620801,19.602678907367
hmi.sharp_cea_720s.1.20100511_050000_TAI,1,213.8414144041045,1.2918250073952044e+22,14883253390564.377,4.070388954495865,929755870579.613,4.940411082267638e+21,1.046600308049089e+21,542.7861359667489,0.0,36.56654566059345,38.09715077598984,51.37315994284762,54.82813080908887,28.082803070098944,-0.0002271295661233,0.0966521165053823,-0.0029437264974855,25.5621896099548
hmi.sharp_cea_720s.10.20100503_080000_TAI,10,104.08811598716277,7.989576144834173e+21,6730945564577.851,9.670557989552872,2154178309875.386,9.977665561182106e+20,7.4421357933164e+20,1022.093830059609,2.345052322301239,53.55715137424642,59.55547751155045,67.6343058208996,61.30361673731599,44.3763739412261,-0.001643255393297,0.2783218083608924,-0.0269310887863573,58.1039755351682
hmi.sharp_cea_720s.1001.20111022_180000_TAI,1001,59.488848569949255,5.605697964529084e+21,5084042390422.624,0.8296324662313795,340850087378.4133,7.802480784292784e+20,3.569185853359307e+20,908.5270840037364,0.0,52.94666120194456,56.629388927878985,56.37884034560385,56.65096095597124,36.73244453852907,0.000180394100072,0.1408924504668979,0.0034067231330353,54.218682737839
hmi.sharp_cea_720s.1001.20111023_080000_TAI,1001,234.0505526650129,2.4709428815420365e+22,11813144860422.28,9.801984563982415,473487289079.3704,2.9422623530150925e+21,1.1497860959168328e+21,1793.8562371381888,2.7941540009637915,46.964543443726,51.11750090516687,68.7200033016163,71.15909046249108,42.74089071757984,0.0009450428619342,-0.0876121749589571,0.0073965754011323,44.39838025453143
hmi.sharp_cea_720s.1001.20111024_070000_TAI,1001,177.0241058547852,1.8287453301496487e+22,9973139748220.084,4.820479845150748,1112966114588.836,3.4096562496328245e+21,1.0972518951520314e+21,1198.6605779562392,3.084525186106508,38.51989004677035,43.51547170865045,56.29485200135229,62.17985791785765,34.575730478287305,0.0004196100143759,0.186020889061802,0.0038795897454795,29.274025069637883
hmi.sharp_cea_720s.1005.20111027_160000_TAI,1005,317.0908760701545,4.664870451769368e+22,34087960369861.22,0.2757038832586426,487506679790.4158,4.846874164607371e+21,1.8076786327170497e+21,1111.859496523881,2.5218475774834213,55.19405895582501,52.59050614208957,46.98325706785811,47.59075797996736,33.213447093791714,8.808712203541411e-06,0.0200735201209454,0.0001776640571878,55.12788047606989
hmi.sharp_cea_720s.1006.20111030_000000_TAI,1006,38.11712324211507,1.9391766180030707e+21,2134158197113.953,2.3284180962413505,347696982744.912,4.938868301493767e+20,3.400770371875159e+20,772.9882755332025,0.0,39.33636477428096,39.34696800948299,82.05691608572602,80.81774700633092,38.06560937911916,0.0012326194262791,-0.3546935459244303,0.0174058803632399,36.31551085230281
hmi.sharp_cea_720s.101.20100724_180000_TAI,101,14.907584562582768,1.275445100269948e+21,481015667682.2258,2.470665442826762,402243235693.5855,2.1190007755645456e+20,1.1709874831955912e+20,2039.0513722019168,0.0,35.36975956579054,41.37836229740868,121.25806566459464,115.69345856520988,58.273280490193066,-0.0052455741885918,1.5741570901956483,-0.0265767239699945,25.902335456475583
hmi.sharp_cea_720s.101.20100725_080000_TAI,101,17.887291170236654,1.1721169540441932e+21,771100486115.7292,0.3857279643914389,94418552683.91214,2.011989271269272e+20,1.187127179624782e+20,1347.4633579983097,0.0,43.36253290666964,43.860878198557366,100.30755063668376,100.86369349121568,44.84004805396616,-0.0005888976555594,0.2411603966530693,-0.0055066952662416,40.15267175572519
